seller_id,orders,late_handoffs,late_rate,late_rate_outside_spike
1a3df491d1c4f1589fc2b934ada68bf2,166,13,0.0783132530120482,0.08904109589041095
f5a590cf36251cf1162ea35bef76fe84,114,13,0.11403508771929824,0.12
5dceca129747e92ff8ef7a997dc4f8ca,319,13,0.04075235109717868,0.03496503496503497
7a241947449cc45dbfda4f9d0798d9d0,57,13,0.22807017543859648,0.24074074074074073
1c68394e931a64f90ea236c5ea590300,132,13,0.09848484848484848,0.0625
cc419e0650a3c5ba77189a1882b7556a,1687,13,0.007705986959098993,0.00867244829886591
9d5a9018aee56acb367ba9c3f05d1d6a,66,12,0.18181818181818182,0.18461538461538463
f8db351d8c4c4c22c6835c19a46f01b0,653,12,0.018376722817764167,0.019704433497536946
45d33f715e24d15a6ccf5c17b3a23e3c,51,12,0.23529411764705882,0.24
f0b47fbbc6dee9aafe415a6e33051b3f,65,12,0.18461538461538463,0.18461538461538463
001cca7ae9ae17fb1caed9dfb1094831,199,12,0.06030150753768844,0.047619047619047616
e8b3a3a38279a82f0e5d006d5e5b7d2c,79,12,0.1518987341772152,0.21428571428571427
05f51e13da97139648b8125c31e5f51b,58,12,0.20689655172413793,0.2
b2479f944e1b90cf8a5de1bbfde284d6,100,12,0.12,0.06153846153846154
4b9750c8ad28220fe6702d4ecb7c898f,215,12,0.05581395348837209,0.056179775280898875
a6fe7de3d16f6149ffe280349a8535a0,51,12,0.23529411764705882,0.14634146341463414
66922902710d126a0e7d26b0e3805106,149,12,0.08053691275167785,0.09565217391304348
6560211a19b47992c3666cc44a7e94c0,1817,11,0.006053935057787562,0.005991611743559017
062ce95fa2ad4dfaedfc79260130565f,52,11,0.21153846153846154,0.21153846153846154
318f287a62ab7ac10b703ac37435a231,52,11,0.21153846153846154,0.18181818181818182
42b729f859728f5079499127a9c2ef37,102,11,0.10784313725490197,0.08433734939759036
a3e9a2c700480d9bb01fba070ba80a0e,119,11,0.09243697478991597,0.1
701938c450705b8ae65fc923b70f35c7,75,11,0.14666666666666667,0.15714285714285714
75d34ebb1bd0bd7dde40dd507b8169c3,57,11,0.19298245614035087,0.17857142857142858
17ca9b9e9b9ef8fdb529001b49ebb50f,113,11,0.09734513274336283,0.10377358490566038
1f9ab4708f3056ede07124aad39a2554,76,10,0.13157894736842105,0.16666666666666666
1835b56ce799e6a4dc4eddc053f04066,380,10,0.02631578947368421,0.016556291390728478
c3867b4666c7d76867627c2f7fb22e21,223,10,0.04484304932735426,0.049689440993788817
7040e82f899a04d1b434b795a43b4617,204,10,0.049019607843137254,0.04864864864864865
688756f717c462a206ad854c5027a64a,73,10,0.136986301369863,0.136986301369863
3be634553519fb6536a03e1358e9fdc7,80,10,0.125,0.12698412698412698
522620dcb18a6b31cd7bdf73665113a9,172,10,0.05813953488372093,0.06201550387596899
822166ed1e47908f7cfb49946d03c726,62,9,0.14516129032258066,0.08
ccc4bbb5f32a6ab2b7066a4130f114e3,184,9,0.04891304347826087,0.046052631578947366
d98eec89afa3380e14463da2aabaea72,164,9,0.054878048780487805,0.056338028169014086
